"",".imp","H0_g1","H1_g1","H0_g2","H1_g2","p01","p11","beta1","beta2","tau2","bias_b0CC","bias_b1CC","omv_bias_b0","omv_bias_b1"
"1",1,0.309090909090909,0.157894736842105,0.440677966101695,0.466666666666667,0.145454545454545,0.368421052631579,0.337121872057485,-0.175904046242768,0.0571108298504767,0.0654355460151274,0.0421689970771563,-0.0255860430898571,-0.0392207107890573
"2",2,0.321428571428571,0.111111111111111,0.467741935483871,0.333333333333333,0.0892857142857143,0.388888888888889,0.169865573068144,0.203023516667148,0.0562226693305545,0.0675809094810453,0.02884448607331,0.018127099702424,0.0608264901125782
"3",3,0.333333333333333,0.0588235294117647,0.492307692307692,0.111111111111111,0.0350877192982456,0.411764705882353,0.29165021590276,0.00346415447249104,0.0594538805557774,0.0718441598528586,0.0143679023329469,0.000121549279736528,0.00130486726775978
"4",4,0.309090909090909,0.157894736842105,0.440677966101695,0.466666666666667,0.0727272727272727,0.578947368421053,0.441432522023208,-0.280112755232358,0.0583876388162584,0.0660805216864439,0.0424517602172671,-0.0203718367441715,-0.141798705758773
"5",5,0.283018867924528,0.238095238095238,0.476190476190476,0.272727272727273,0.0377358490566038,0.428571428571429,0.241399653781594,0.0257763238208123,0.061357819102665,0.0618804005675456,0.0663360431721977,0.000972691464936313,0.010074304458269
"6",6,0.333333333333333,0.0588235294117647,0.467741935483871,0.333333333333333,0.105263157894737,0.352941176470588,0.351514301906035,-0.209400970201204,0.0524654762283929,0.0680371154081509,0.0139718034322783,-0.0220422073896005,-0.0518640173872952
"7",7,0.321428571428571,0.111111111111111,0.484375,0.2,0.0357142857142857,0.444444444444444,0.296334090788523,-0.0752590323523175,0.0608473786884836,0.0700103154840187,0.029508326366885,-0.00268782258401134,-0.0307606362392409
"8",8,0.321428571428571,0.111111111111111,0.4,0.578947368421053,0.142857142857143,0.611111111111111,0.335277493428228,-0.131416230740074,0.0621339884028161,0.0706861844136249,0.0296930089716447,-0.018773747248582,-0.0615361715370187
"9",9,0.309090909090909,0.157894736842105,0.459016393442623,0.384615384615385,0.0909090909090909,0.421052631578947,0.288638811674691,-0.0902667584147169,0.0611120830038285,0.0674567653265931,0.0430551178174874,-0.00820606894679245,-0.0298009872278252
"10",10,0.309090909090909,0.157894736842105,0.431034482758621,0.5,0.145454545454545,0.421052631578947,0.28409851060795,-0.184520295291354,0.0539620979606472,0.0638449748969216,0.0414716763812681,-0.0268393156787424,-0.0508534402334066
"11",11,0.269230769230769,0.272727272727273,0.421052631578947,0.529411764705882,0.0769230769230769,0.590909090909091,0.278163653943127,-0.037881670095006,0.0602310718406645,0.0583699419455009,0.0759177390155709,-0.00291397462269277,-0.0194706486152653
"12",12,0.333333333333333,0.0588235294117647,0.484375,0.2,0.0526315789473684,0.411764705882353,0.420134114471872,-0.243245056302617,0.057063623594304,0.0705420293434742,0.0142324238874533,-0.0128023713843482,-0.087357357681435
"13",13,0.296296296296296,0.2,0.467741935483871,0.333333333333333,0.037037037037037,0.5,0.281389951128341,-0.113864226000804,0.0640914418489052,0.0661071512463283,0.0560946041829152,-0.00421719355558533,-0.0527149194448166
"14",14,0.333333333333333,0.0588235294117647,0.492307692307692,0.111111111111111,0.0526315789473684,0.352941176470588,0.320921939116571,-0.0835718108613647,0.0591446861841278,0.0716757212995381,0.0143503773665932,-0.00439851636112446,-0.0250974168840631
"15",15,0.283018867924528,0.238095238095238,0.214285714285714,0.75,0.320754716981132,0.714285714285714,0.183270164877276,0.109203326186342,0.0562909717709261,0.0595367957289004,0.0645341791623563,0.0350274819842983,0.0429748938630887
"16",16,0.309090909090909,0.157894736842105,0.484375,0.2,0.0727272727272727,0.315789473684211,0.30900103147915,-0.0887750649946407,0.0587373707342295,0.066257187565694,0.0425292121290038,-0.00645636836324659,-0.0215778626876926
"17",17,0.309090909090909,0.157894736842105,0.484375,0.2,0.0363636363636364,0.421052631578947,0.220770514374193,0.0545010046170591,0.0615146324034151,0.0676601117755879,0.0431442667311678,0.0019818547133476,0.0209659367043615
"18",18,0.321428571428571,0.111111111111111,0.467741935483871,0.333333333333333,0.0535714285714286,0.5,0.225692154303923,0.0628426022553419,0.0607112164970823,0.06993878812531,0.0294887813658659,0.00336656797796474,0.0280547331497062
"19",19,0.321428571428571,0.111111111111111,0.467741935483871,0.333333333333333,0.0535714285714286,0.5,0.263878910729896,-0.000862987755508304,0.0618317526277427,0.0705274169431853,0.0296496254268367,-4.62314869022306e-05,-0.000385262390851922
"20",20,0.283018867924528,0.238095238095238,0.476190476190476,0.272727272727273,0.0377358490566038,0.428571428571429,0.216399472394207,-0.0996094135406345,0.0639339242667964,0.0630719447630256,0.0672521535021337,-0.00375884579398621,-0.0389309028662857
"21",21,0.333333333333333,0.0588235294117647,0.467741935483871,0.333333333333333,0.087719298245614,0.411764705882353,0.442983663346264,-0.324749597882601,0.0471125229504774,0.065121008943101,0.0136684009945566,-0.0284868068318071,-0.105233615825734
"22",22,0.269230769230769,0.272727272727273,0.440677966101695,0.466666666666667,0.0961538461538462,0.454545454545455,0.0888261478983631,0.144332630546321,0.0636555272195529,0.059876713391058,0.077334948118984,0.0138781375525308,0.0517276036048876
"23",23,0.309090909090909,0.157894736842105,0.467741935483871,0.333333333333333,0.0363636363636364,0.526315789473684,0.181100748396225,0.129835893790811,0.0602881910071306,0.0670405791093094,0.0428726580334932,0.00472130522875675,0.0636133757137751
"24",24,0.333333333333333,0.0588235294117647,0.476190476190476,0.272727272727273,0.0701754385964912,0.411764705882353,0.25515789666801,0.0781185553696934,0.0611436852635632,0.0727647078526657,0.0144636795312518,0.00548200388559252,0.0266844600901636
"25",25,0.296296296296296,0.2,0.484375,0.2,0.0555555555555556,0.35,0.251820928534522,-0.0711453649429636,0.0599835434257216,0.064117957447411,0.0548959695323225,-0.00395252027460909,-0.0209483574554282
"26",26,0.309090909090909,0.157894736842105,0.467741935483871,0.333333333333333,0.0727272727272727,0.421052631578947,0.188379346168924,0.160715764399266,0.0601875181285088,0.066989724549847,0.042850362936853,0.0116884192290375,0.0559813763074955
"27",27,0.309090909090909,0.157894736842105,0.467741935483871,0.333333333333333,0.0909090909090909,0.368421052631579,0.352339258616919,-0.233169482960739,0.0518071173161937,0.062756393813079,0.0409944326351526,-0.0211972257237036,-0.0647073206302529
"28",28,0.321428571428571,0.111111111111111,0.459016393442623,0.384615384615385,0.107142857142857,0.388888888888889,0.230920183110669,0.0812226376158872,0.0540855496781162,0.0664582591886968,0.0285377195226624,0.00870242545884506,0.0228841558362222
"29",29,0.333333333333333,0.0588235294117647,0.467741935483871,0.333333333333333,0.0701754385964912,0.470588235294118,0.369466165541035,-0.230019480187974,0.0595174893702044,0.0718788117665508,0.0143715076454456,-0.016141717907928,-0.0921027433570009
"30",30,0.321428571428571,0.111111111111111,0.45,0.428571428571429,0.0892857142857143,0.5,0.23443582577133,0.121511087982859,0.0522158436766448,0.0654760839572994,0.0282693380775046,0.0108492042841838,0.0499063397072456
"31",31,0.283018867924528,0.238095238095238,0.476190476190476,0.272727272727273,0.0377358490566038,0.428571428571429,0.165078303685952,0.0015672407722982,0.0666206570632753,0.0643146583420459,0.0682076050508138,5.91411612187998e-05,0.000612533455480427
"32",32,0.321428571428571,0.111111111111111,0.440677966101695,0.466666666666667,0.0892857142857143,0.555555555555556,0.437579366291224,-0.318557273208278,0.0561901533333205,0.0675638285030294,0.0288398186601865,-0.0284426136793106,-0.148533649214177
"33",33,0.309090909090909,0.157894736842105,0.440677966101695,0.466666666666667,0.0545454545454545,0.631578947368421,0.411929006508851,-0.201285681326062,0.0534592667899977,0.0635909714551068,0.0413603189859421,-0.0109792189814216,-0.116148579750828
"34",34,0.333333333333333,0.0588235294117647,0.476190476190476,0.272727272727273,0.0526315789473684,0.470588235294118,0.296756373062627,-0.0297943517560337,0.0622876868317217,0.0733879209082882,0.0145285209088085,-0.00156812377663335,-0.0124527476379708
"35",35,0.333333333333333,0.0588235294117647,0.4,0.578947368421053,0.175438596491228,0.529411764705882,0.342845560333758,-0.123835492253499,0.0587110031911592,0.0714394655891071,0.0143257964538832,-0.0217255249567543,-0.0438344415303925
"36",36,0.321428571428571,0.111111111111111,0.45,0.428571428571429,0.142857142857143,0.333333333333333,0.265164614526413,-0.0158352848271733,0.0628326320913379,0.0710531889190917,0.029793293723701,-0.00226218354673904,-0.00301624472898539
"37",37,0.321428571428571,0.111111111111111,0.421052631578947,0.529411764705882,0.107142857142857,0.611111111111111,0.371249714971683,-0.147788571938132,0.057438925222166,0.0682198208451004,0.029019069945649,-0.0158344898505141,-0.0744807485561219
"38",38,0.321428571428571,0.111111111111111,0.440677966101695,0.466666666666667,0.125,0.444444444444444,0.26805106582832,0.00826293832314368,0.0605148020516058,0.0698356096559228,0.029460587632367,0.00103286729039296,0.00263954974211534
"39",39,0.344827586206897,0,0.492307692307692,0.111111111111111,0.0517241379310345,0.375,0.389306339215574,-0.245145840120875,0.0527758212281393,0.0705581180528627,-0.00215411134030841,-0.0126799572476315,-0.0792497327976967
"40",40,0.296296296296296,0.2,0.467741935483871,0.333333333333333,0.0925925925925926,0.35,0.214339056845984,0.0668437054395289,0.0625219497955267,0.0653471461200061,0.0556366455468418,0.00618923198514157,0.0172060649186936
"41",41,0.333333333333333,0.0588235294117647,0.431034482758621,0.5,0.12280701754386,0.529411764705882,0.311917893662281,-0.0342013059164999,0.0585306783174622,0.0713412307451441,0.0143155757395558,-0.00420016037571052,-0.0139064133447895
"42",42,0.333333333333333,0.0588235294117647,0.388888888888889,0.6,0.245614035087719,0.352941176470588,0.290628375086099,0.00195074333371797,0.0606431404902357,0.0724920281235955,0.0144353089297293,0.000479129941614941,0.000209367705579638
"43",43,0.321428571428571,0.111111111111111,0.484375,0.2,0.0535714285714286,0.388888888888889,0.203046980960677,0.138712301893752,0.0580977515668304,0.0685659089022667,0.0291136392342697,0.00743101617287955,0.0465126567858016
"44",44,0.296296296296296,0.2,0.459016393442623,0.384615384615385,0.111111111111111,0.35,0.297355562165877,-0.0650181391389534,0.0589437095337869,0.0636144320637094,0.0545925586868402,-0.00722423768210594,-0.0155321110165278
"45",45,0.344827586206897,0,0.5,0,0.0344827586206897,0.375,0.356378014894144,-0.141360120906269,0.0592556974812798,0.0742098584171181,-0.00241859561730992,-0.00487448692780237,-0.0481355584120484
"46",46,0.321428571428571,0.111111111111111,0.410714285714286,0.555555555555556,0.142857142857143,0.555555555555556,0.298556931899229,-0.0351108054949177,0.0589879314866036,0.0690335293024797,0.0292414174909214,-0.00501582935641682,-0.0144901736963153
"47",47,0.283018867924528,0.238095238095238,0.431034482758621,0.5,0.132075471698113,0.428571428571429,0.230503552218085,0.0403207375959803,0.0604560702103427,0.0614633082557146,0.0660153646972785,0.00532538043720494,0.011954935675358
"48",48,0.321428571428571,0.111111111111111,0.467741935483871,0.333333333333333,0.0357142857142857,0.555555555555556,0.539529171120321,-0.422843841716253,0.0548484737875205,0.0668590308410867,0.0286472312185475,-0.0151015657755805,-0.219811679622338
